cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
1,10485760387628,10485760401724,10485760437870,14.096,36.146,50.242,0
2,10485780387628,10485780398060,10485780434049,10.432,35.989,46.421,0
3,10485800387628,10485800394500,10485800430437,6.872,35.937,42.809,0
4,10485820387628,10485820397034,10485820432971,9.406,35.937,45.343,0
5,10485840387628,10485840396078,10485840432015,8.450,35.937,44.387,0
6,10485860387628,10485860395435,10485860431320,7.807,35.885,43.692,0
7,10485880387628,10485880395208,10485880431093,7.580,35.885,43.465,0
8,10485900387628,10485900395137,10485900431023,7.509,35.886,43.395,0
9,10485920387628,10485920395223,10485920431109,7.595,35.886,43.481,0
10,10485940387628,10485940396247,10485940432132,8.619,35.885,44.504,0
11,10485960387628,10485960404926,10485960441072,17.298,36.146,53.444,0
12,10485980387628,10485980395585,10485980431470,7.957,35.885,43.842,0
13,10486000387628,10486000396764,10486000432650,9.136,35.886,45.022,0
14,10486020387628,10486020397163,10486020433048,9.535,35.885,45.420,0
15,10486040387628,10486040396988,10486040432873,9.360,35.885,45.245,0
16,10486060387628,10486060396918,10486060432803,9.290,35.885,45.175,0
17,10486080387628,10486080395285,10486080431170,7.657,35.885,43.542,0
18,10486100387628,10486100396933,10486100432818,9.305,35.885,45.190,0
19,10486120387628,10486120397279,10486120433216,9.651,35.937,45.588,0
20,10486140387628,10486140396948,10486140432834,9.320,35.886,45.206,0
21,10486160387628,10486160396982,10486160432867,9.354,35.885,45.239,0
22,10486180387628,10486180396912,10486180432797,9.284,35.885,45.169,0
23,10486200387628,10486200397101,10486200432987,9.473,35.886,45.359,0
24,10486220387628,10486220396719,10486220432656,9.091,35.937,45.028,0
25,10486240387628,10486240395711,10486240431596,8.083,35.885,43.968,0
26,10486260387628,10486260396578,10486260432463,8.950,35.885,44.835,0
27,10486280387628,10486280396872,10486280432757,9.244,35.885,45.129,0
28,10486300387628,10486300396853,10486300432739,9.225,35.886,45.111,0
29,10486320387628,10486320396887,10486320432824,9.259,35.937,45.196,0
30,10486340387628,10486340396765,10486340432702,9.137,35.937,45.074,0
31,10486360387628,10486360396850,10486360432736,9.222,35.886,45.108,0
32,10486380387628,10486380395790,10486380431728,8.162,35.938,44.100,0
33,10486400387628,10486400394366,10486400430303,6.738,35.937,42.675,0
34,10486420387628,10486420397108,10486420432993,9.480,35.885,45.365,0
35,10486440387628,10486440395735,10486440431673,8.107,35.938,44.045,0
36,10486460387628,10486460413946,10486460450456,26.318,36.510,62.828,0
37,10486480387628,10486480412105,10486480448615,24.477,36.510,60.987,0
38,10486500387628,10486500394534,10486500430576,6.906,36.042,42.948,0
39,10486520387628,10486520394151,10486520430141,6.523,35.990,42.513,0
40,10486540387628,10486540393977,10486540429862,6.349,35.885,42.234,0
41,10486560387628,10486560394062,10486560429948,6.434,35.886,42.320,0
42,10486580387628,10486580394513,10486580430398,6.885,35.885,42.770,0
43,10486600387628,10486600407880,10486600491682,20.252,83.802,104.054,0
44,10486620387628,10486620409997,10486620493799,22.369,83.802,106.171,0
45,10486640387628,10486640407635,10486640491437,20.007,83.802,103.809,0
46,10486660387628,10486660410273,10486660494074,22.645,83.801,106.446,0
47,10486680387628,10486680420306,10486680504108,32.678,83.802,116.480,0
48,10486700387628,10486700410028,10486700493829,22.400,83.801,106.201,0
49,10486720387628,10486720409436,10486720493238,21.808,83.802,105.610,0
50,10486740387628,10486740410460,10486740494313,22.832,83.853,106.685,0
51,10486760387628,10486760410702,10486760494451,23.074,83.749,106.823,0
52,10486780387628,10486780419433,10486780503183,31.805,83.750,115.555,0
53,10486800387628,10486800410144,10486800493946,22.516,83.802,106.318,0
54,10486820387628,10486820409709,10486820493511,22.081,83.802,105.883,0
55,10486840387628,10486840409274,10486840493024,21.646,83.750,105.396,0
56,10486860387628,10486860412172,10486860495974,24.544,83.802,108.346,0
57,10486880387628,10486880420696,10486880504497,33.068,83.801,116.869,0
58,10486900387628,10486900411406,10486900495208,23.778,83.802,107.580,0
59,10486920387628,10486920409877,10486920493679,22.249,83.802,106.051,0
60,10486940387628,10486940402672,10486940486473,15.044,83.801,98.845,0
61,10486960387628,10486960415466,10486960499580,27.838,84.114,111.952,0
62,10486980387628,10486980405708,10486980489509,18.080,83.801,101.881,0
63,10487000387628,10487000407095,10487000490897,19.467,83.802,103.269,0
64,10487020387628,10487020409994,10487020493795,22.366,83.801,106.167,0
65,10487040387628,10487040409454,10487040493204,21.826,83.750,105.576,0
66,10487060387628,10487060409540,10487060493290,21.912,83.750,105.662,0
67,10487080387628,10487080406188,10487080489990,18.560,83.802,102.362,0
68,10487100387628,10487100410024,10487100493826,22.396,83.802,106.198,0
