cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
1,11385727589375,11385727605734,11385727641880,16.359,36.146,52.505,0
2,11385747589375,11385747601156,11385747637146,11.781,35.990,47.771,0
3,11385767589375,11385767598714,11385767634599,9.339,35.885,45.224,0
4,11385787589375,11385787598667,11385787634553,9.292,35.886,45.178,0
5,11385807589375,11385807626537,11385807667839,37.162,41.302,78.464,0
6,11385827589375,11385827608834,11385827645293,19.459,36.459,55.918,0
7,11385847589375,11385847598684,11385847634725,9.309,36.041,45.350,0
8,11385867589375,11385867598325,11385867634210,8.950,35.885,44.835,0
9,11385887589375,11385887599059,11385887634945,9.684,35.886,45.570,0
10,11385907589375,11385907598804,11385907634690,9.429,35.886,45.315,0
11,11385927589375,11385927598289,11385927634122,8.914,35.833,44.747,0
12,11385947589375,11385947608503,11385947645013,19.128,36.510,55.638,0
13,11385967589375,11385967598717,11385967634706,9.342,35.989,45.331,0
14,11385987589375,11385987598149,11385987634139,8.774,35.990,44.764,0
15,11386007589375,11386007598832,11386007634717,9.457,35.885,45.342,0
16,11386027589375,11386027598316,11386027634202,8.941,35.886,44.827,0
17,11386047589375,11386047598218,11386047634103,8.843,35.885,44.728,0
18,11386067589375,11386067598119,11386067634004,8.744,35.885,44.629,0
19,11386087589375,11386087598437,11386087634322,9.062,35.885,44.947,0
20,11386107589375,11386107598078,11386107633963,8.703,35.885,44.588,0
21,11386127589375,11386127598187,11386127634073,8.812,35.886,44.698,0
22,11386147589375,11386147598089,11386147633974,8.714,35.885,44.599,0
23,11386167589375,11386167598146,11386167634032,8.771,35.886,44.657,0
24,11386187589375,11386187597683,11386187633620,8.308,35.937,44.245,0
25,11386207589375,11386207597741,11386207633626,8.366,35.885,44.251,0
26,11386227589375,11386227597902,11386227633840,8.527,35.938,44.465,0
27,11386247589375,11386247598064,11386247633949,8.689,35.885,44.574,0
28,11386267589375,11386267597809,11386267633694,8.434,35.885,44.319,0
29,11386287589375,11386287597762,11386287633648,8.387,35.886,44.273,0
30,11386307589375,11386307597612,11386307633549,8.237,35.937,44.174,0
31,11386327589375,11386327597878,11386327633763,8.503,35.885,44.388,0
32,11386347589375,11386347597675,11386347633612,8.300,35.937,44.237,0
33,11386367589375,11386367597836,11386367633722,8.461,35.886,44.347,0
34,11386387589375,11386387597946,11386387633883,8.571,35.937,44.508,0
35,11386407589375,11386407597795,11386407633681,8.420,35.886,44.306,0
36,11386427589375,11386427597905,11386427633790,8.530,35.885,44.415,0
37,11386447589375,11386447598015,11386447633900,8.640,35.885,44.525,0
38,11386467589375,11386467598176,11386467634114,8.801,35.938,44.739,0
39,11386487589375,11386487598078,11386487633963,8.703,35.885,44.588,0
40,11386507589375,11386507597979,11386507633812,8.604,35.833,44.437,0
41,11386527589375,11386527597880,11386527633765,8.505,35.885,44.390,0
42,11386547589375,11386547603146,11386547639031,13.771,35.885,49.656,0
43,11386567589375,11386567598152,11386567634037,8.777,35.885,44.662,0
44,11386587589375,11386587597792,11386587633730,8.417,35.938,44.355,0
45,11386607589375,11386607597902,11386607633839,8.527,35.937,44.464,0
46,11386627589375,11386627597699,11386627633584,8.324,35.885,44.209,0
47,11386647589375,11386647597809,11386647633694,8.434,35.885,44.319,0
48,11386667589375,11386667597866,11386667633752,8.491,35.886,44.377,0
49,11386687589375,11386687597820,11386687633705,8.445,35.885,44.330,0
50,11386707589375,11386707597773,11386707633658,8.398,35.885,44.283,0
51,11386727589375,11386727598404,11386727634289,9.029,35.885,44.914,0
52,11386747589375,11386747597888,11386747633774,8.513,35.886,44.399,0
53,11386767589375,11386767597894,11386767633779,8.519,35.885,44.404,0
54,11386787589375,11386787597743,11386787633680,8.368,35.937,44.305,0
