cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
1,9980006911950,9980006992822,9980007076936,80.872,84.114,164.986,0
2,9980026911950,9980026984788,9980027056663,72.838,71.875,144.713,0
3,9980046911950,9980046982431,9980047054254,70.481,71.823,142.304,0
4,9980066911950,9980066988512,9980067060699,76.562,72.187,148.749,0
5,9980086911950,9980086985531,9980087057353,73.581,71.822,145.403,0
6,9980106911950,9980106986820,9980107058694,74.870,71.874,146.744,0
7,9980126911950,9980126991026,9980127074827,79.076,83.801,162.877,0
8,9980146911950,9980146988252,9980147072106,76.302,83.854,160.156,0
9,9980166911950,9980166989021,9980167072770,77.071,83.749,160.820,0
10,9980186911950,9980186993123,9980187076976,81.173,83.853,165.026,0
11,9980206911950,9980206992328,9980207076130,80.378,83.802,164.180,0
12,9980226911950,9980226990649,9980227074451,78.699,83.802,162.501,0
13,9980246911950,9980246991886,9980247075740,79.936,83.854,163.790,0
14,9980266911950,9980266989790,9980267073591,77.840,83.801,161.641,0
15,9980286911950,9980286991912,9980287075766,79.962,83.854,163.816,0
16,9980306911950,9980306991795,9980307075649,79.845,83.854,163.699,0
17,9980326911950,9980326989074,9980327072928,77.124,83.854,160.978,0
18,9980346911950,9980346991509,9980347075311,79.559,83.802,163.361,0
19,9980366911950,9980366991184,9980367074986,79.234,83.802,163.036,0
20,9980386911950,9980386991692,9980387075493,79.742,83.801,163.543,0
21,9980406911950,9980406991783,9980407075637,79.833,83.854,163.687,0
22,9980426911950,9980427004114,9980427087916,92.164,83.802,175.966,0
23,9980446911950,9980446992070,9980447075872,80.120,83.802,163.922,0
24,9980466911950,9980466991745,9980467075494,79.795,83.749,163.544,0
25,9980486911950,9980486991784,9980487075637,79.834,83.853,163.687,0
26,9980506911950,9980506988906,9980507072760,76.956,83.854,160.810,0
27,9980526911950,9980526989935,9980527073789,77.985,83.854,161.839,0
28,9980546911950,9980546988464,9980547072266,76.514,83.802,160.316,0
29,9980566911950,9980567015534,9980567100221,103.584,84.687,188.271,0
30,9980586911950,9980587004636,9980587088959,92.686,84.323,177.009,0
31,9980606911950,9980607021967,9980607106758,110.017,84.791,194.808,0
32,9980626911950,9980626988985,9980627073100,77.035,84.115,161.150,0
33,9980646911950,9980646981160,9980647044076,69.210,62.916,132.126,0
34,9980666911950,9980666980054,9980667042970,68.104,62.916,131.020,0
35,9980686911950,9980686979416,9980687042280,67.466,62.864,130.330,0
36,9980706911950,9980706979611,9980707042475,67.661,62.864,130.525,0
37,9980726911950,9980726980380,9980727043244,68.430,62.864,131.294,0
38,9980746911950,9980746985835,9980747069689,73.885,83.854,157.739,0
39,9980766911950,9980766991916,9980767075718,79.966,83.802,163.768,0
40,9980786911950,9980786993778,9980787077580,81.828,83.802,165.630,0
41,9980806911950,9980806990588,9980807074390,78.638,83.802,162.440,0
42,9980826911950,9980826991878,9980827075679,79.928,83.801,163.729,0
43,9980846911950,9980846990459,9980847074260,78.509,83.801,162.310,0
44,9980866911950,9980866994821,9980867078622,82.871,83.801,166.672,0
45,9980886911950,9980886990381,9980887074182,78.431,83.801,162.232,0
46,9980906911950,9980906991983,9980907075784,80.033,83.801,163.834,0
47,9980926911950,9980926992855,9980927076657,80.905,83.802,164.707,0
48,9980946911950,9980946995967,9980947080185,84.017,84.218,168.235,0
49,9980966911950,9980966992361,9980967076318,80.411,83.957,164.368,0
50,9980986911950,9980986990004,9980987073806,78.054,83.802,161.856,0
51,9981006911950,9981006990460,9981007074262,78.510,83.802,162.312,0
52,9981026911950,9981026992166,9981027075967,80.216,83.801,164.017,0
53,9981046911950,9981046990122,9981047073923,78.172,83.801,161.973,0
54,9981066911950,9981066991984,9981067075838,80.034,83.854,163.888,0
55,9981086911950,9981086993065,9981087076918,81.115,83.853,164.968,0
56,9981106911950,9981106991906,9981107075656,79.956,83.750,163.706,0
57,9981126911950,9981126989289,9981127073091,77.339,83.802,161.141,0
58,9981146911950,9981146989172,9981147072974,77.222,83.802,161.024,0
59,9981166911950,9981166992180,9981167076034,80.230,83.854,164.084,0
60,9981186911950,9981186990501,9981187074406,78.551,83.905,162.456,0
61,9981206911950,9981206989029,9981207072883,77.079,83.854,160.933,0
62,9981226911950,9981226991777,9981227075579,79.827,83.802,163.629,0
63,9981246911950,9981246985879,9981247069680,73.929,83.801,157.730,0
64,9981266911950,9981266989668,9981267073469,77.718,83.801,161.519,0
65,9981286911950,9981286989290,9981287073092,77.340,83.802,161.142,0
66,9981306911950,9981306991517,9981307075319,79.567,83.802,163.369,0
67,9981326911950,9981326991661,9981327075462,79.711,83.801,163.512,0
68,9981346911950,9981346988991,9981347072793,77.041,83.802,160.843,0
69,9981366911950,9981366991427,9981367075280,79.477,83.853,163.330,0
70,9981386911950,9981386990997,9981387074799,79.047,83.802,162.849,0
71,9981406911950,9981406992495,9981407076244,80.545,83.749,164.294,0
72,9981426911950,9981426991232,9981427075033,79.282,83.801,163.083,0
73,9981446911950,9981446988875,9981447072677,76.925,83.802,160.727,0
74,9981466911950,9981466991362,9981467075216,79.412,83.854,163.266,0
75,9981486911950,9981486991714,9981487075568,79.764,83.854,163.618,0
76,9981506911950,9981506988368,9981507072169,76.418,83.801,160.219,0
77,9981526911950,9981526988511,9981527072365,76.561,83.854,160.415,0
78,9981546911950,9981546988863,9981547072665,76.913,83.802,160.715,0
79,9981566911950,9981566991819,9981567075568,79.869,83.749,163.618,0
80,9981586911950,9981586991337,9981587075139,79.387,83.802,163.189,0
81,9981606911950,9981606991585,9981607075386,79.635,83.801,163.436,0
82,9981626911950,9981627007926,9981627092665,95.976,84.739,180.715,0
83,9981646911950,9981647014476,9981647112027,102.526,97.551,200.077,0
84,9981666911950,9981666993994,9981667066598,82.044,72.604,154.648,0
85,9981686911950,9981686984450,9981687056221,72.500,71.771,144.271,0
86,9981706911950,9981706982354,9981707054229,70.404,71.875,142.279,0
87,9981726911950,9981726982029,9981727053903,70.079,71.874,141.953,0
88,9981746911950,9981746980453,9981747043370,68.503,62.917,131.420,0
89,9981766911950,9981766979451,9981767042315,67.501,62.864,130.365,0
90,9981786911950,9981786979698,9981787042511,67.748,62.813,130.561,0
91,9981806911950,9981806984425,9981807047237,72.475,62.812,135.287,0
92,9981826911950,9981826984881,9981827047745,72.931,62.864,135.795,0
93,9981846911950,9981846986170,9981847069972,74.220,83.802,158.022,0
94,9981866911950,9981866995532,9981867079386,83.582,83.854,167.436,0
95,9981886911950,9981886993176,9981887076925,81.226,83.749,164.975,0
96,9981906911950,9981906989934,9981907073787,77.984,83.853,161.837,0
97,9981926911950,9981926992942,9981927076795,80.992,83.853,164.845,0
98,9981946911950,9981947002252,9981947086470,90.302,84.218,174.520,0
99,9981966911950,9981966990312,9981967074061,78.362,83.749,162.111,0
100,9981986911950,9981986988997,9981987072851,77.047,83.854,160.901,0
101,9982006911950,9982006992943,9982007077057,80.993,84.114,165.107,0
102,9982026911950,9982026989961,9982027073710,78.011,83.749,161.760,0
103,9982046911950,9982047028490,9982047112343,116.540,83.853,200.393,0
104,9982066911950,9982066992383,9982067076185,80.433,83.802,164.235,0
105,9982086911950,9982086989037,9982087072839,77.087,83.802,160.889,0
106,9982106911950,9982106989128,9982107072982,77.178,83.854,161.032,0
107,9982126911950,9982126993282,9982127077136,81.332,83.854,165.186,0
108,9982146911950,9982147020092,9982147103894,108.142,83.802,191.944,0
109,9982166911950,9982166991538,9982167075391,79.588,83.853,163.441,0
110,9982186911950,9982186992202,9982187076056,80.252,83.854,164.106,0
111,9982206911950,9982206989012,9982207072814,77.062,83.802,160.864,0
112,9982226911950,9982226991239,9982227075145,79.289,83.906,163.195,0
113,9982246911950,9982246989247,9982247073048,77.297,83.801,161.098,0
114,9982266911950,9982266989026,9982267072827,77.076,83.801,160.877,0
115,9982286911950,9982286991304,9982287075158,79.354,83.854,163.208,0
116,9982306911950,9982306991135,9982307074937,79.185,83.802,162.987,0
117,9982326911950,9982326992581,9982327076382,80.631,83.801,164.432,0
118,9982346911950,9982346991422,9982347075224,79.472,83.802,163.274,0
