cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
1,11301141827496,11301150030692,11301150066837,8203.196,36.145,8239.341,0
2,11301161827496,11301161890686,11301161926571,63.190,35.885,99.075,0
3,11301181827496,11301181889598,11301181925536,62.102,35.938,98.040,0
4,11301201827496,11301201889813,11301201925699,62.317,35.886,98.203,0
5,11301221827496,11301221889351,11301221925288,61.855,35.937,97.792,0
6,11301241827496,11301241889097,11301241924982,61.601,35.885,97.486,0
7,11301261827496,11301261888843,11301261924781,61.347,35.938,97.285,0
8,11301281827496,11301281889162,11301281925048,61.666,35.886,97.552,0
9,11301301827496,11301301889377,11301301925263,61.881,35.886,97.767,0
10,11301321827496,11301321889488,11301321925425,61.992,35.937,97.929,0
11,11301341827496,11301341888505,11301341924390,61.009,35.885,96.894,0
12,11301361827496,11301361888407,11301361924293,60.911,35.886,96.797,0
13,11301381827496,11301381888153,11301381924091,60.657,35.938,96.595,0
14,11301401827496,11301401888577,11301401924462,61.081,35.885,96.966,0
15,11301421827496,11301421888166,11301421924052,60.670,35.886,96.556,0
16,11301441827496,11301441888069,11301441923954,60.573,35.885,96.458,0
17,11301461827496,11301461887971,11301461923856,60.475,35.885,96.360,0
18,11301481827496,11301481888134,11301481924019,60.638,35.885,96.523,0
19,11301501827496,11301501927047,11301501963453,99.551,36.406,135.957,0
20,11301521827496,11301521923564,11301521962782,96.068,39.218,135.286,0
21,11301541827496,11301541895862,11301541932476,68.366,36.614,104.980,0
22,11301561827496,11301561890348,11301561926441,62.852,36.093,98.945,0
23,11301581827496,11301581889990,11301581925927,62.494,35.937,98.431,0
24,11301601827496,11301601889215,11301601925152,61.719,35.937,97.656,0
25,11301621827496,11301621889846,11301621925732,62.350,35.886,98.236,0
26,11301641827496,11301641889645,11301641925530,62.149,35.885,98.034,0
27,11301661827496,11301661889703,11301661925641,62.207,35.938,98.145,0
28,11301681827496,11301681890491,11301681926376,62.995,35.885,98.880,0
29,11301701827496,11301701888935,11301701924872,61.439,35.937,97.376,0
30,11301721827496,11301721889046,11301721924931,61.550,35.885,97.435,0
31,11301741827496,11301741889052,11301741924937,61.556,35.885,97.441,0
32,11301761827496,11301761889840,11301761925725,62.344,35.885,98.229,0
33,11301781827496,11301781889117,11301781925055,61.621,35.938,97.559,0
34,11301801827496,11301801889020,11301801924905,61.524,35.885,97.409,0
35,11301821827496,11301821889130,11301821925016,61.634,35.886,97.520,0
36,11301841827496,11301841888668,11301841924606,61.172,35.938,97.110,0
37,11301861827496,11301861889300,11301861925185,61.804,35.885,97.689,0
38,11301881827496,11301881888525,11301881924410,61.029,35.885,96.914,0
39,11301901827496,11301901888167,11301901924052,60.671,35.885,96.556,0
40,11301921827496,11301921888226,11301921924111,60.730,35.885,96.615,0
41,11301941827496,11301941920367,11301941956461,92.871,36.094,128.965,0
42,11301961827496,11301961893291,11301961929384,65.795,36.093,101.888,0
43,11301981827496,11301981889912,11301981925849,62.416,35.937,98.353,0
44,11302001827496,11302001889762,11302001925699,62.266,35.937,98.203,0
45,11302021827496,11302021888935,11302021924821,61.439,35.886,97.325,0
46,11302041827496,11302041888733,11302041924619,61.237,35.886,97.123,0
47,11302061827496,11302061888792,11302061924677,61.296,35.885,97.181,0
48,11302081827496,11302081888538,11302081924423,61.042,35.885,96.927,0
49,11302101827496,11302101890680,11302101926617,63.184,35.937,99.121,0
50,11302121827496,11302121889280,11302121925166,61.784,35.886,97.670,0
51,11302141827496,11302141889183,11302141925068,61.687,35.885,97.572,0
52,11302161827496,11302161888252,11302161924189,60.756,35.937,96.693,0
53,11302181827496,11302181888154,11302181924039,60.658,35.885,96.543,0
54,11302201827496,11302201888056,11302201923942,60.560,35.886,96.446,0
55,11302221827496,11302221888115,11302221924052,60.619,35.937,96.556,0
56,11302241827496,11302241888851,11302241924736,61.355,35.885,97.240,0
57,11302261827496,11302261888232,11302261924117,60.736,35.885,96.621,0
58,11302281827496,11302281889437,11302281925270,61.941,35.833,97.774,0
59,11302301827496,11302301888922,11302301924808,61.426,35.886,97.312,0
60,11302321827496,11302321889241,11302321925179,61.745,35.938,97.683,0
61,11302341827496,11302341888154,11302341924039,60.658,35.885,96.543,0
62,11302361827496,11302361889515,11302361925400,62.019,35.885,97.904,0
63,11302381827496,11302381887959,11302381923896,60.463,35.937,96.400,0
64,11302401827496,11302401888017,11302401923955,60.521,35.938,96.459,0
65,11302421827496,11302421888076,11302421923961,60.580,35.885,96.465,0
66,11302441827496,11302441887926,11302441923812,60.430,35.886,96.316,0
67,11302461827496,11302461888037,11302461923922,60.541,35.885,96.426,0
68,11302481827496,11302481888148,11302481924033,60.652,35.885,96.537,0
69,11302501827496,11302501888363,11302501924248,60.867,35.885,96.752,0
70,11302521827496,11302521889098,11302521924983,61.602,35.885,97.487,0
71,11302541827496,11302541930615,11302541967334,103.119,36.719,139.838,0
72,11302561827496,11302561895986,11302561932132,68.490,36.146,104.636,0
73,11302581827496,11302581889587,11302581925628,62.091,36.041,98.132,0
74,11302601827496,11302601889541,11302601925426,62.045,35.885,97.930,0
75,11302621827496,11302621889391,11302621925277,61.895,35.886,97.781,0
76,11302641827496,11302641889658,11302641925543,62.162,35.885,98.047,0
77,11302661827496,11302661889404,11302661925290,61.908,35.886,97.794,0
78,11302681827496,11302681890400,11302681926286,62.904,35.886,98.790,0
79,11302701827496,11302701889157,11302701925042,61.661,35.885,97.546,0
80,11302721827496,11302721889476,11302721925361,61.980,35.885,97.865,0
81,11302741827496,11302741889378,11302741925264,61.882,35.886,97.768,0
82,11302761827496,11302761889385,11302761925270,61.889,35.885,97.774,0
83,11302781827496,11302781888923,11302781924860,61.427,35.937,97.364,0
84,11302801827496,11302801889554,11302801925491,62.058,35.937,97.995,0
85,11302821827496,11302821889404,11302821925342,61.908,35.938,97.846,0
86,11302841827496,11302841890557,11302841926442,63.061,35.885,98.946,0
87,11302861827496,11302861889626,11302861925511,62.130,35.885,98.015,0
88,11302881827496,11302881889788,11302881925674,62.292,35.886,98.178,0
89,11302901827496,11302901888545,11302901924430,61.049,35.885,96.934,0
90,11302921827496,11302921888968,11302921924853,61.472,35.885,97.357,0
91,11302941827496,11302941914443,11302941950589,86.947,36.146,123.093,0
92,11302961827496,11302961894346,11302961930491,66.850,36.145,102.995,0
93,11302981827496,11302981889769,11302981925654,62.273,35.885,98.158,0
94,11303001827496,11303001890453,11303001926390,62.957,35.937,98.894,0
95,11303021827496,11303021889209,11303021925094,61.713,35.885,97.598,0
96,11303041827496,11303041888799,11303041924736,61.303,35.937,97.240,0
97,11303061827496,11303061889430,11303061925316,61.934,35.886,97.820,0
98,11303081827496,11303081888916,11303081924801,61.420,35.885,97.305,0
99,11303101827496,11303101888662,11303101924547,61.166,35.885,97.051,0
